Wavenumber [cm-1],% Transmittance
4000,98.377
3999,98.378
3998,98.379
3997,98.379
3996,98.379
3995,98.379
3994,98.379
3993,98.378
3992,98.377
3991,98.376
3990,98.375
3989,98.374
3988,98.373
3987,98.372
3986,98.371
3985,98.372
3984,98.372
3983,98.372
3982,98.371
3981,98.37
3980,98.37
3979,98.369
3978,98.368
3977,98.368
3976,98.369
3975,98.37
3974,98.37
3973,98.37
3972,98.368
3971,98.366
3970,98.365
3969,98.364
3968,98.364
3967,98.364
3966,98.364
3965,98.363
3964,98.361
3963,98.36
3962,98.359
3961,98.361
3960,98.362
3959,98.363
3958,98.363
3957,98.363
3956,98.364
3955,98.367
3954,98.371
3953,98.373
3952,98.373
3951,98.368
3950,98.36
3949,98.355
3948,98.355
3947,98.362
3946,98.371
3945,98.376
3944,98.375
3943,98.371
3942,98.367
3941,98.363
3940,98.359
3939,98.355
3938,98.354
3937,98.354
3936,98.356
3935,98.356
3934,98.355
3933,98.356
3932,98.36
3931,98.367
3930,98.374
3929,98.381
3928,98.389
3927,98.392
3926,98.389
3925,98.38
3924,98.373
3923,98.369
3922,98.364
3921,98.355
3920,98.346
3919,98.342
3918,98.342
3917,98.345
3916,98.349
3915,98.353
3914,98.356
3913,98.355
3912,98.355
3911,98.357
3910,98.361
3909,98.365
3908,98.37
3907,98.373
3906,98.37
3905,98.357
3904,98.341
3903,98.337
3902,98.346
3901,98.36
3900,98.369
3899,98.37
3898,98.369
3897,98.366
3896,98.363
3895,98.363
3894,98.365
3893,98.368
3892,98.364
3891,98.351
3890,98.336
3889,98.332
3888,98.338
3887,98.342
3886,98.345
3885,98.352
3884,98.365
3883,98.378
3882,98.381
3881,98.375
3880,98.367
3879,98.363
3878,98.367
3877,98.377
3876,98.381
3875,98.374
3874,98.365
3873,98.362
3872,98.361
3871,98.353
3870,98.342
3869,98.34
3868,98.351
3867,98.365
3866,98.368
3865,98.362
3864,98.359
3863,98.358
3862,98.357
3861,98.352
3860,98.341
3859,98.321
3858,98.301
3857,98.298
3856,98.313
3855,98.319
3854,98.303
3853,98.291
3852,98.299
3851,98.319
3850,98.336
3849,98.347
3848,98.353
3847,98.358
3846,98.362
3845,98.366
3844,98.369
3843,98.367
3842,98.362
3841,98.359
3840,98.359
3839,98.363
3838,98.364
3837,98.361
3836,98.358
3835,98.358
3834,98.36
3833,98.359
3832,98.357
3831,98.358
3830,98.363
3829,98.37
3828,98.373
3827,98.366
3826,98.354
3825,98.348
3824,98.355
3823,98.362
3822,98.358
3821,98.348
3820,98.338
3819,98.339
3818,98.345
3817,98.343
3816,98.337
3815,98.336
3814,98.343
3813,98.35
3812,98.346
3811,98.335
3810,98.332
3809,98.336
3808,98.336
3807,98.329
3806,98.322
3805,98.326
3804,98.342
3803,98.354
3802,98.361
3801,98.364
3800,98.366
3799,98.368
3798,98.367
3797,98.362
3796,98.358
3795,98.358
3794,98.361
3793,98.362
3792,98.362
3791,98.364
3790,98.367
3789,98.372
3788,98.376
3787,98.378
3786,98.379
3785,98.378
3784,98.377
3783,98.378
3782,98.379
3781,98.376
3780,98.369
3779,98.364
3778,98.363
3777,98.364
3776,98.363
3775,98.359
3774,98.355
3773,98.355
3772,98.355
3771,98.354
3770,98.353
3769,98.355
3768,98.359
3767,98.36
3766,98.357
3765,98.354
3764,98.356
3763,98.363
3762,98.369
3761,98.37
3760,98.371
3759,98.374
3758,98.37
3757,98.356
3756,98.338
3755,98.321
3754,98.301
3753,98.277
3752,98.263
3751,98.265
3750,98.264
3749,98.252
3748,98.248
3747,98.264
3746,98.281
3745,98.285
3744,98.284
3743,98.292
3742,98.307
3741,98.315
3740,98.316
3739,98.318
3738,98.322
3737,98.321
3736,98.327
3735,98.345
3734,98.361
3733,98.362
3732,98.352
3731,98.342
3730,98.337
3729,98.337
3728,98.336
3727,98.339
3726,98.351
3725,98.366
3724,98.378
3723,98.385
3722,98.387
3721,98.389
3720,98.389
3719,98.387
3718,98.378
3717,98.363
3716,98.35
3715,98.344
3714,98.34
3713,98.333
3712,98.326
3711,98.325
3710,98.331
3709,98.341
3708,98.349
3707,98.354
3706,98.358
3705,98.367
3704,98.377
3703,98.383
3702,98.381
3701,98.373
3700,98.363
3699,98.355
3698,98.348
3697,98.34
3696,98.334
3695,98.328
3694,98.321
3693,98.316
3692,98.318
3691,98.327
3690,98.332
3689,98.323
3688,98.307
3687,98.294
3686,98.291
3685,98.293
3684,98.294
3683,98.294
3682,98.293
3681,98.284
3680,98.268
3679,98.255
3678,98.253
3677,98.251
3676,98.248
3675,98.246
3674,98.248
3673,98.255
3672,98.258
3671,98.249
3670,98.242
3669,98.243
3668,98.248
3667,98.252
3666,98.254
